Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Nie, Y; Sheng, YW; Liu, Q; Liu, LS; Liu, SY; Zhang, YL; Song, CQ",,,,"Nie, Yong; Sheng, Yongwei; Liu, Qiao; Liu, Linshan; Liu, Shiyin; Zhang, Yili; Song, Chunqiao",,,A regional-scale assessment of Himalayan glacial lake changes using satellite observations from 1990 to 2015,REMOTE SENSING OF ENVIRONMENT,,,,Article,,,,,,,,"The Himalaya, the world's highest mountain ranges, are home to a large group of glaciers and glacial lakes. Glacial lake outburst floods (GLOFs) in this region have resulted in catastrophic damages and fatalities in the past decades. The recent warming has caused dramatic glacial lake changes and increased potential GLOF risk in the Himalaya. However, our knowledge on the current state and change of glacial lakes in the entire Himalaya is limited. This study maps the current (2015) distribution of glacial lakes across the entire Himalaya and monitors the spatially-explicit evolution of glacial lakes over five time periods from 1990 to 2015 using a total of 348 Landsat images at 30 m resolution. The results show that 4950 glacial lakes in 2015 cover a total area of 455.3 +/- 72.7 km(2), mainly located between 4000 m and 5700 m above sea level. Himalayan glacial lakes expanded by approximately 14.1% from 1990 to 2015. The changing patterns of supraglacial lakes and proglacial lakes are rather complex, involving both lake disappearance and emergence. Many emergent glacial lakes are found at higher elevations, especially the new proglacial lakes, which have formed as a result of glacier retreat. Spatially heterogeneous changes of Himalayan glacial lakes are observed, with the most significant expansion occurring in the southern slopes of the central Himalaya. Increasing glacier meltwater induced by the Himalayan atmospheric warming is a primary cause for the observed lake expansion. This study provides primary data for future GLOF risk assessments. A total of 118 rapidly expanded glacial lakes are identified as potential vulnerable lakes for the priority of risk assessment. (C) 2016 Elsevier Inc All rights reserved.","[Nie, Yong; Liu, Qiao] Chinese Acad Sci, Inst Mt Hazards & Environm, Chengdu 610041, Sichuan, Peoples R China; [Nie, Yong; Sheng, Yongwei; Song, Chunqiao] Univ Calif Los Angeles, Dept Geog, Los Angeles, CA 90095 USA; [Liu, Linshan; Zhang, Yili] Chinese Acad Sci, Inst Geog Sci & Nat Resources Res, Key Lab Land Surface Pattern & Simulat, Beijing 100101, Peoples R China; [Liu, Shiyin] Chinese Acad Sci, Cold & Arid Reg Environm & Engn Res Inst, State Key Lab Cryosphere Sci, Lanzhou 730000, Peoples R China",,"Nie, Y (corresponding author), Chinese Acad Sci, Inst Mt Hazards & Environm, Chengdu 610041, Sichuan, Peoples R China.;Nie, Y (corresponding author), Univ Calif Los Angeles, Dept Geog, Los Angeles, CA 90095 USA.",nieyong@imde.ac.cn,,,,,,,,225.0,253.0,,,,,,,,,,,FEB,2017,189.0,,,,,,1,13,,10.1016/j.rse.2016.11.008,http://dx.doi.org/10.1016/j.rse.2016.11.008,,,,,,,,,,,,2024-06-07,WOS:000393005400001,View Full Record in Web of Science
J,"Dubey, S; Sattar, A; Goyal, MK; Allen, S; Frey, H; Haritashya, UK; Huggel, C",,,,"Dubey, Saket; Sattar, Ashim; Goyal, Manish Kumar; Allen, Simon; Frey, Holger; Haritashya, Umesh K.; Huggel, Christian",,,Mass Movement Hazard and Exposure in the Himalaya,EARTHS FUTURE,,,,Article,,,,,,,,"Himalaya is experiencing frequent catastrophic mass movement events such as avalanches and landslides, causing loss of human lives and infrastructure. Millions of people reside in critical zones potentially exposed to such catastrophes. Despite this, a comprehensive assessment of mass movement exposure is lacking at a regional scale. Here, we developed a novel method of determining mass movement trajectories and applied it to the Himalayan Mountain ranges for the first time to quantify the exposure of infrastructure, waterways, roadways, and population in six mountain ranges, including Hindu Kush, Karakoram, western Himalaya, eastern Himalaya, central Himalaya, and Hengduan Shan. Our results reveal that the exposure of buildings and roadways to mass movements is highest in Karakoram, whereas central Himalaya has the highest exposed waterways. The hotspots of exposed roadways are concentrated in Nepal, the North Indian states of Uttarakhand, Himachal Pradesh, the Union Territory of Ladakh, and China's Sichuan Province. Our analysis shows that the population in the central Himalaya is currently at the highest exposure to mass movement impacts. Projected future populations based on Shared Socio-economic and Representative Concentration Pathways suggest that changing settlement patterns and emission scenarios will significantly influence the potential impact of these events on the human population. Assessment of anticipated secondary hazards (glacial lake outburst floods) shows an increase in probable headward impacts of mass movements on glacial lakes in the future. Our findings will support researchers, policymakers, stakeholders, and local governments in identifying critical areas that require detailed investigation for risk reduction and mitigation.","[Dubey, Saket] Indian Inst Technol Bhubaneswar, Sch Infrastruct, Bhubaneswar, Orissa, India; [Dubey, Saket; Haritashya, Umesh K.] Univ Dayton, Dept Geol & Environm Geosci, Dayton, OH USA; [Sattar, Ashim] Indian Inst Sci, Divecha Ctr Climate Change, Bangalore, India; [Goyal, Manish Kumar] India Inst Technol Indore, Dept Civil Engn, Indore, India; [Allen, Simon; Frey, Holger; Huggel, Christian] Univ Zurich, Dept Geog, Zurich, Switzerland",,"Sattar, A (corresponding author), Indian Inst Sci, Divecha Ctr Climate Change, Bangalore, India.",ashim.sattar@gmail.com,,,,,,,,2.0,2.0,,,,,,,,,,,SEP,2023,11.0,9,,,,,,,e2022EF003253,10.1029/2022EF003253,http://dx.doi.org/10.1029/2022EF003253,,,,,,,,,,,,2024-06-07,WOS:001066003300001,View Full Record in Web of Science
J,"Khadka, N; Zhang, GQ; Thakuri, S",,,,"Khadka, Nitesh; Zhang, Guoqing; Thakuri, Sudeep",,,Glacial Lakes in the Nepal Himalaya: Inventory and Decadal Dynamics (1977-2017),REMOTE SENSING,,,,Article,,,,,,,,"Himalayan glaciers, in general, are shrinking and glacial lakes are evolving and growing rapidly in number and size as a result of climate change. This study presents the latest remote sensing-based inventory (2017) of glacial lakes (size >= 0.0036 km(2)) across the Nepal Himalaya using optical satellite data. Furthermore, this study traces the decadal glacial lake dynamics from 1977 to 2017 in the Nepal Himalaya. The decadal mapping of glacial lakes (both glacial-fed and nonglacial-fed) across the Nepal Himalaya reveals an increase in the number and area of lakes from 1977 to 2017, with 606 (55.53 +/- 16.52 km(2)), 1137 (64.56 +/- 11.64 km(2)), 1228 (68.87 +/- 12.18 km(2)), 1489 (74.2 +/- 14.22 km(2)), and 1541 (80.95 +/- 15.25 km(2)) glacial lakes being mapped in 1977, 1987, 1997, 2007, and 2017, respectively. Glacial lakes show heterogeneous rates of expansion in different river basins and elevation zones of Nepal, with apparent decadal emergences and disappearances. Overall, the glacial lakes exhibited similar to 25% expansion of surface areas from 1987 to 2017. For the period from 1987 to 2017, proglacial lakes with ice contact, among others, exhibited the highest incremental changes in terms of number (181%) and surface area (82%). The continuous amplified mass loss of glaciers, as reported in Central Himalaya, is expected to accompany glacial lake expansion in the future, increasing the risk of glacial lake outburst floods (GLOFs). We emphasize that the rapidly increasing glacial lakes in the Nepal Himalaya can pose potential GLOF threats to downstream population and infrastructure.","[Khadka, Nitesh; Zhang, Guoqing] Chinese Acad Sci, Inst Tibetan Plateau Res, Beijing 100101, Peoples R China; [Khadka, Nitesh] Univ Chinese Acad Sci, Beijing 100049, Peoples R China; [Zhang, Guoqing] Chinese Acad Sci, CAS Ctr Excellence Tibetan Plateau Earth Sci, Beijing 100101, Peoples R China; [Thakuri, Sudeep] Tribhuvan Univ, Cent Dept Environm Sci, Kirtipur 44618, Nepal",,"Zhang, GQ (corresponding author), Chinese Acad Sci, Inst Tibetan Plateau Res, Beijing 100101, Peoples R China.;Zhang, GQ (corresponding author), Chinese Acad Sci, CAS Ctr Excellence Tibetan Plateau Earth Sci, Beijing 100101, Peoples R China.",niteshkhadka48@gmail.commailto; guoqing.zhang@itpcas.ac.cn; sthakuri@cdes.edu.np,,,,,,,,57.0,58.0,,,,,,,,,,,DEC,2018,10.0,12,,,,,,,1913,10.3390/rs10121913,http://dx.doi.org/10.3390/rs10121913,,,,,,,,,,,,2024-06-07,WOS:000455637600055,View Full Record in Web of Science
J,"Ahmed, R; Ahmad, ST; Wani, GF; Mir, RA; Ahmed, P; Jain, SK",,,,"Ahmed, Rayees; Ahmad, Syed Towseef; Wani, Gowhar Farooq; Mir, Riyaz Ahmad; Ahmed, Pervez; Jain, Sanjay K.",,,"High resolution inventory and hazard assessment of potentially dangerous glacial lakes in upper Jhelum basin, Kashmir Himalaya, India",GEOCARTO INTERNATIONAL,,,,Article,,,,,,,,"In the Himalayan Mountain region, a large number of glacial lakes have developed in the recent past due to glacier recession under the influence of climate change. In this study, we used high resolution satellite data such as Indian Remote Sensing (IRS) LISS-IV (5.8 m) and Google earth images supplemented with field survey to generate an updated glacial lake inventory of Upper Jhelum Basin (UJB) of Kashmir Himalaya. The Sentinel-2A (10 m), Landsat-OLI (30 m) and MSS (60 m), and Cartosat-DEM (30 m) were additional data sources used for glacial lake mapping and change detection analysis. A total of 393 glacial lakes covering an area of 21.55 +/- 3.8 km(2) were identified, mapped and inventoried. The lake inventory includes 102 proglacial lakes, 13 supraglacial lakes and 278 unconnected glacial lakes. Using the weighted index-based method, 21 glacial lakes were found as Potentially Dangerous Glacial Lakes (PDGLs). Out of these, 7 lakes were classified as High, 9 as Medium and 5 as Low hazard glacial lakes as per the hazard assessment. Change detection analysis of PDGLs from 1980 to 2020 revealed an increase in area from 5.92 km(2) to 8.46 km(2) thereby, indicating a growth of 2.51 +/- 0.9 km(2)(30%) at a rate of 0.063 km(2)/year. The formation and growth of glacial lakes in this area is attributed to continuous glacier recession under the warming trend of temperature and declining nature of precipitation. In this study, the findings showed that T-avg and T-min are rising significantly at a rate of 0.004oC/year and 0.013oC/year respectively. This study provides an important database for future GLOF studies in the region.","[Ahmed, Rayees; Ahmad, Syed Towseef; Wani, Gowhar Farooq; Ahmed, Pervez] Univ Kashmir, Sch Earth & Environm Sci, Dept Geog & Reg Dev, Srinagar, India; [Mir, Riyaz Ahmad] Geol Survey India Northern Reg, Geol Survey India, Lucknow, Uttar Pradesh, India; [Jain, Sanjay K.] Natl Inst Hydrol, Div Water Resources, Roorkee, Uttar Pradesh, India",,"Ahmed, P (corresponding author), Univ Kashmir, Sch Earth & Environm Sci, Dept Geog & Reg Dev, Srinagar, India.",pervezahmeduok@gmail.com,,,,,,,,7.0,7.0,,,,,,,,,,,DEC 13,2022,37.0,25,,,,,10681,10712,,10.1080/10106049.2022.2038693,http://dx.doi.org/10.1080/10106049.2022.2038693,,FEB 2022,,,,,,,,,,2024-06-07,WOS:000758063400001,View Full Record in Web of Science
J,"Chowdhuri, I; Pal, SC; Saha, A; Roy, P; Chakrabortty, R; Shit, M",,,,"Chowdhuri, Indrajit; Pal, Subodh Chandra; Saha, Asish; Roy, Paramita; Chakrabortty, Rabin; Shit, Manisa",,,Application of novel framework approach for assessing rainfall induced future landslide hazard to world heritage sites in Indo-Nepal-Bhutan Himalayan region,GEOCARTO INTERNATIONAL,,,,Article,,,,,,,,"The present study focused on mapping of 'landslide susceptibility (LS)' and evaluating landslide risk on some important 'world heritage sites (WHSs)' in Indo-Nepal-Bhutan Himalayan. LS mapping was carried out using 'eXtreme gradient boosting (XGBoost)', 'Random Forest (RF)', and 'convolutional neural network (CNN)', considering 15 conditioning factors, including seismicity and rainfall. Since rainfall is the triggering factor of landslides, the future rainfall was estimated using four 'Shared socioeconomic pathways (SSPs)' scenarios of the 'Climate Model Intercomparison Project-6 (CMIP-6)' to identify the future LS and vulnerable WHSs of the Himalayan. The XGBoost is the robust model applied in future scenario-based LS assessments. The very high susceptibility zone has an increased tendency, about 13% to 31% area in the future scenarios where the predicted rainfall also increased, about 100 mm in 80 years. The findings of this study will aid strategy makers in conserving the heritage monument while also ensuring sustainability.","[Chowdhuri, Indrajit; Pal, Subodh Chandra; Saha, Asish; Roy, Paramita; Chakrabortty, Rabin] Univ Burdwan, Dept Geog, Bardhaman, W Bengal, India; [Shit, Manisa] Raiganj Univ, Dept Geog, Raiganj, W Bengal, India",,"Pal, SC (corresponding author), Univ Burdwan, Dept Geog, Bardhaman, W Bengal, India.",geo.subodh@gmail.com,,,,,,,,5.0,5.0,,,,,,,,,,,DEC 13,2022,37.0,27,,,,,17742,17776,,10.1080/10106049.2022.2134464,http://dx.doi.org/10.1080/10106049.2022.2134464,,OCT 2022,,,,,,,,,,2024-06-07,WOS:000870188700001,View Full Record in Web of Science
J,"Mal, S; Allen, SK; Frey, H; Huggel, C; Dimri, AP",,,,"Mal, Suraj; Allen, Simon K.; Frey, Holger; Huggel, Christian; Dimri, A. P.",,,Sectorwise Assessment of Glacial Lake Outburst Flood Danger in the Indian Himalayan Region,MOUNTAIN RESEARCH AND DEVELOPMENT,,,,Article,,,,,,,,"Climate change and associated glacier recession have led to the formation of new glacial lakes and the expansion of existing ones across the Himalayas. Many pose a potential glacial lake outburst flood (GLOF) threat to downstream communities and infrastructure. In this paper, 4418 glacial lakes in the Indian Himalayan Region and 636 transboundary lakes are analyzed. We consider hazard, exposure, and integrated danger levels using robust geographic information system-based automated approaches. The hazard level of takes was estimated based on the potential for avalanches to strike the lake, size of the lake and its upstream watershed, and distal slope of its dam. Exposure levels were calculated by intersecting cropland, roads, hydropower projects, and the human population with potential GLOF trajectories. Then, GLOF danger was determined as a function of hazard and exposure. The study demonstrates that Jammu and Kashmir (JK) is potentially the most threatened region in terms of total number of very high and high danger lakes (n = 556), followed by Arunachal Pradesh (AP) (n = 388) and Sikkim (SK) (n = 219). Sectorwise, JK faces the greatest GLOF threat to roads and population, whereas the threat to cropland and hydropower is greatest in AP and SK, respectively. Transboundary lakes primarily threaten AP and, to a lesser extent, Himachal Pradesh (HP). For Uttarakhand (UK), the impacts of potential future glacial lakes, expected to form during rapid ongoing glacier recession because of climate change, are explored. Finally, a comparison of current results with previous studies suggests that 13 lakes in SK, 5 in HR 4 in JK, 2 in UK, and 1 in AP are of highest priority for local investigation and potential risk reduction measures. Current results are of vital importance to policymakers, disaster management authorities, and the scientific community.","[Mal, Suraj] Univ Delhi, Shaheed Bhagat Singh Coll, Dept Geog, New Delhi 110017, India; [Allen, Simon K.; Frey, Holger; Huggel, Christian] Univ Zurich, Dept Geog, CH-8057 Zurich, Switzerland; [Allen, Simon K.] Univ Geneva, Inst Environm Sci, CH-1205 Geneva, Switzerland; [Dimri, A. P.] Jawaharlal Nehru Univ, Sch Environm Sci, New Delhi 110067, India",,"Mal, S (corresponding author), Univ Delhi, Shaheed Bhagat Singh Coll, Dept Geog, New Delhi 110017, India.",suraj.mal@sbs.du.ac.in,,,,,,,,18.0,18.0,,,,,,,,,,,FEB,2021,41.0,1,,,,,R1,R12,,10.1659/MRD-JOURNAL-D-20-00043.1,http://dx.doi.org/10.1659/MRD-JOURNAL-D-20-00043.1,,,,,,,,,,,,2024-06-07,WOS:000658551000004,View Full Record in Web of Science
J,"Raj, KBG; Kumar, KV",,,,"Raj, K. Babu Govindha; Kumar, K. Vinod",,,Inventory of Glacial Lakes and its Evolution in Uttarakhand Himalaya Using Time Series Satellite Data,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,,,,Article,,,,,,,,"Glacier recession and the expansion of glacial lakes in the recent decade is an observable fact in the Himalayan Cryosphere. The present study used the potential of Indian Remote Sensing (IRS) high resolution LISS IV multispectral data to generate the latest inventory of glacial lakes in Uttarakhand Himalaya. A combination of five different types and a total of the 362 glacial lakes were identified in Uttarakhand Himalaya. The historical Corona and Hexagon data were analysed for the growth of selected glacial lakes. Pro-glacial/moraine-dammed lakes are growing consequent to the recession of the glaciers. The inventory shows eight glacial lakes are critical considering the outburst potential. This shows the glacial lakes are dynamics in nature and vary, dimension and type in time and space.","[Raj, K. Babu Govindha; Kumar, K. Vinod] ISRO, NRSC, Remote Sensing Applicat Area, Geosci Grp, Hyderabad 500037, Andhra Pradesh, India",,"Raj, KBG (corresponding author), ISRO, NRSC, Remote Sensing Applicat Area, Geosci Grp, Hyderabad 500037, Andhra Pradesh, India.",babugovindraj@gmail.com,,,,,,,,35.0,38.0,,,,,,,,,,,DEC,2016,44.0,6,,,,,959,976,,10.1007/s12524-016-0560-y,http://dx.doi.org/10.1007/s12524-016-0560-y,,,,,,,,,,,,2024-06-07,WOS:000388133500011,View Full Record in Web of Science
J,"Wang, YZ; Li, J; Wu, LX; Guo, L; Hu, J; Zhang, X",,,,"Wang, Yingzheng; Li, Jia; Wu, Lixin; Guo, Lei; Hu, Jun; Zhang, Xin",,,"Estimating the Changes in Glaciers and Glacial Lakes in the Xixabangma Massif, Central Himalayas, between 1974 and 2018 from Multisource Remote Sensing Data",REMOTE SENSING,,,,Article,,,,,,,,"The continuous melting of valley glaciers can impact the water levels of glacial lakes and create glacial lake outburst floods (GLOFs). The Xixabangma massif is one of the most populated areas in the Himalayas and has suffered from multiple GLOFs. To estimate the glacier melting rate in the past four decades and analyze the outburst risk of glacial lakes in the Xixabangma massif, we determined changes in glacier mass balance, glacier area and glacial lake area based on KH-9 images, TanDEM-X images, Landsat images, SRTM DEM and ICESat-2 elevations. Our results show that, from 1974 to 2018, the total glacier area shrank from 954.01 km(2) to 752.46 km(2), whereas the total glacial lake area grew from 20.90 km(2) to 38.71 km(2). From 1974 to 2000, 2000 to 2013 and 2013 to 2018, the region-wide glacier mass balance values were -0.16 m w.e./a, -0.31 m w.e./a and -0.29 m w.e./a, respectively. Three glacial lakes, named Gangxico, Galongco and Jialongco, respectively, expanded by 127.14%, 373.45% and 436.36% from 1974 to 2018, and the mass loss rates of their parent glaciers from 2000 to 2013 increased by 81.72%, 122.22% and 160.00% relative to those during 1974 to 2000. The dams of these three lakes are unstable, and their drainage valleys directly connect to a major town and its infrastructure. Due to current high-water levels, possible external events such as ice collapse, landslide, heavy rainfall and earthquakes can easily trigger GLOFs. Hence, we deemed that the Gangxico, Galongco and Jialongco glacial lakes are dangerous and require special attention.","[Wang, Yingzheng; Li, Jia; Wu, Lixin; Guo, Lei; Hu, Jun] Cent South Univ, Sch Geosci & Infophys, Changsha 410083, Peoples R China; [Wang, Yingzheng; Li, Jia; Wu, Lixin; Guo, Lei] Cent South Univ, Lab Geohazards Percept Cognit & Predict, Changsha 410083, Peoples R China; [Zhang, Xin] Sichuan Acad Safety Sci & Technol, Chengdu 610000, Peoples R China",,"Li, J (corresponding author), Cent South Univ, Sch Geosci & Infophys, Changsha 410083, Peoples R China.;Li, J (corresponding author), Cent South Univ, Lab Geohazards Percept Cognit & Predict, Changsha 410083, Peoples R China.",wy-zheng@outlook.com; ljia20050710@csu.edu.cn; wulx66@csu.edu.cn; tristanblus@csu.edu.cn; csuhujun@csu.edu.cn; 13952114109@163.com,,,,,,,,7.0,8.0,,,,,,,,,,,OCT,2021,13.0,19,,,,,,,3903,10.3390/rs13193903,http://dx.doi.org/10.3390/rs13193903,,,,,,,,,,,,2024-06-07,WOS:000709622000001,View Full Record in Web of Science
J,"Chowdhury, A; Kroczek, T; De, SK; Vilimek, V; Sharma, MC; Debnath, M",,,,"Chowdhury, Arindam; Kroczek, Tomas; De, Sunil Kumar; Vilimek, Vit; Sharma, Milap Chand; Debnath, Manasi",,,"Glacial Lake Evolution (1962-2018) and Outburst Susceptibility of Gurudongmar Lake Complex in the Tista Basin, Sikkim Himalaya (India)",WATER,,,,Article,,,,,,,,"The Sikkim Himalayan glaciers and glacial lakes are affected by climate change like other parts of the Himalayas. As a result of this climate variability in the Sikkim Himalaya, a detailed study of the Gurudongmar lake complex (GLC) evolution and outburst susceptibility assessment is required. Glacial lake volume estimation and lake outburst susceptibility assessment were carried out to reveal different characteristics for all four lakes (GL-1, GL-2, GL-3, and GL-4) from the lake complex. Each of these lakes has a moderate to very high potential to outburst. As the dam of GL-1 provides no retention capacity, there is a very high potential of a combined effect with the sudden failure of the moraine-dams of GL-2 or GL-3 located upstream. Temporal analysis of GLC using optical remote sensing data and in-field investigations revealed a rapidly increasing total lake area by ~74 +/- 3%, with an expansion rate of +0.03 +/- 0.002 km(2) a(-1) between 1962 and 2018 due to climate change and ongoing glacier retreat. The overall lake area expansion rates are dependent on climate-driven factors, and constantly increasing average air temperature is responsible for the enlargement of the lake areas. Simultaneously, changes in GLC expansion velocity are driven by changes in the total amount of precipitation. The deficit in precipitation probably triggered the initial higher rate from 1962 to 1988 during the winter and spring seasons. The post-1990s positive anomaly in precipitation might have reduced the rate of the glacial lake area expansion considerably.","[Chowdhury, Arindam; De, Sunil Kumar] North Eastern Hill Univ, Sch Human & Environm Sci, Dept Geog, Shillong 793022, Meghalaya, India; [Kroczek, Tomas; Vilimek, Vit] Charles Univ Prague, Dept Phys Geog & Geoecol, Fac Sci, Albertov 6, Prague 12800, Czech Republic; [Sharma, Milap Chand] Jawaharlal Nehru Univ, Ctr Study Reg Dev, New Delhi 110067, India; [Debnath, Manasi] Adamas Univ, Sch Basic & Appl Sci, Dept Geog, Kolkata 700126, India",,"De, SK (corresponding author), North Eastern Hill Univ, Sch Human & Environm Sci, Dept Geog, Shillong 793022, Meghalaya, India.",arindam.nehu30@gmail.com; tomas.kroczek@natur.cuni.cz; desunil@yahoo.com; vit.vilimek@natur.cuni.cz; milap@jnu.ac.in; manasi.jnu2012@gmail.com,,,,,,,,6.0,6.0,,,,,,,,,,,DEC,2021,13.0,24,,,,,,,3565,10.3390/w13243565,http://dx.doi.org/10.3390/w13243565,,,,,,,,,,,,2024-06-07,WOS:000742868000001,View Full Record in Web of Science
J,"Kaul, V; Thornton, TF",,,,"Kaul, Vaibhav; Thornton, Thomas F.",,,Resilience and adaptation to extremes in a changing Himalayan environment,REGIONAL ENVIRONMENTAL CHANGE,,,,Article,,,,,,,,"Human communities inhabiting remote and geomorphically fragile high-altitude regions are particularly vulnerable to climate change-related glacial hazards and hydrometeorological extremes. This study presents a strategy for enhancing adaptation and resilience of communities living immediately downstream of two potentially hazardous glacial lakes in the Upper Chenab Basin of the Western Himalaya in India. It uses an interdisciplinary investigative framework, involving ground surveys, participatory mapping, comparison of local perceptions of environmental change and hazards with scientific data, identification of assets and livelihood resources at risk, assessment of existing community-level adaptive capacity and resilience and a brief review of governance issues. In addition to recommending specific actions for securing lives and livelihoods in the study area, the study demonstrates the crucial role of regional ground-level, community-centric assessments in evolving an integrated approach to disaster risk reduction and climate change adaptation for high-altitude environments, particularly in the developing world.","[Kaul, Vaibhav; Thornton, Thomas F.] Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England",,"Kaul, V (corresponding author), 104-8 East End Apartments, Delhi 110096, India.",vkaulgeo@gmail.com,,,,,,,,23.0,25.0,,,,,,,,,,,APR,2014,14.0,2,,,SI,,683,698,,10.1007/s10113-013-0526-3,http://dx.doi.org/10.1007/s10113-013-0526-3,,,,,,,,,,,,2024-06-07,WOS:000333267700020,View Full Record in Web of Science
